Category,Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification,p,c,o,f,g,s,Annotated.at.the.species.level
Environment,SRR13727534_bin.160,96.66,2.424,0.636,76024,71,3116115,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudorhodobacter_B,s__,No
Environment,SRR25018314_bin.22,96.69,1.971,0.684,62329,104,3116805,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sandaracinobacteroides,s__,No
Clinical,SRR17827924.bin_2,99.33,0,43.8,729345,1,3117951,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus eutactus_A,Yes
Environment,ERR6430842_bin.2,98.78,2.439,0.384,743585,6,3118140,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__UBA6429,f__UBA6429,g__JAGLTQ01,s__,No
Environment,SRR9924798_bin.49,96.2,2.51,0.663,16798,299,3118350,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__CAIYZT01,s__,No
Animal,CRR657459_bin.13,97.67,2.201,0.504,139392,67,3118873,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__JAGBWK01,s__JAGBWK01 sp004102805,Yes
Animal,SRR29757214_bin.3,95.57,3.003,0.624,58073,46,3118990,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__JAAWBF01,s__,No
Environment,ERR6430842_bin.6,96.12,0.645,0.434,489562,14,3119130,d__Bacteria,p__Desulfobacterota_F,c__JADFVX01,o__JADFVX01,f__,g__,s__,No
Animal,SRR15023575_bin.29,98.51,3.024,0.397,47022,94,3120011,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp017627765,Yes
Animal,SRR25306204_bin.7,91.94,4.404,0.628,45255,162,3120495,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Pelethomonas,s__Pelethomonas sp910577915,Yes
Environment,SRR16108669_bin.52,97.43,4.273,0.651,198572,67,3120653,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__SCN-69-37,g__SYFT01,s__SYFT01 sp016871335,Yes
Environment,ERR6430849_bin.12,98.2,2.543,0.504,171059,34,3120890,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__SZUA-152,f__SZUA-152,g__,s__,No
Environment,SRR13727526_bin.54,91.69,1.078,0.71,9456,452,3121271,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Dietzia,s__Dietzia cercidiphylli,Yes
Clinical,SRR17827901.bin_8,97.32,0,50.3,103205,1,3122486,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__Ruminococcus_C sp000980705,Yes
Animal,SRR15023588_bin.57,95.74,1.07,0.552,13931,317,3122640,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1212,f__UBA1255,g__UBA1255,s__UBA1255 sp902782885,Yes
Animal,ERR2027889_bin.17,99.3,1.398,0.488,289856,22,3123049,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp900316905,Yes
Animal,ERR2027896_bin.46,91.91,3.086,0.452,42742,162,3123109,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp902783165,Yes
Animal,SRR29354204_bin.5,95.71,0.584,0.481,45496,126,3123447,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter vanvlietii,Yes
Animal,SRR15023583_bin.40,98.57,0.476,0.477,162515,32,3123867,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__SZUA-534,g__RUG13583,s__,No
Clinical,SRR8942385_bin.6,96.97,0,0.602,18152,269,3124781,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__Flavonifractor intestinigallinarum,Yes
Animal,SRR15023597_bin.85,96.16,0.782,0.422,9517,498,3124833,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA1213,s__,No
Clinical,CRR476106_bin.52,97.39,0.123,0.532,203286,28,3126009,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Mediterranea,s__Mediterranea massiliensis,Yes
Clinical,SRR1950779_bin.1,95.21,0.273,0.72,30119,160,3126212,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae,g__Arsenicicoccus,s__Arsenicicoccus cauae,Yes
Clinical,SRR17827850.bin_1,100,0,48.4,884797,3,3126625,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q sp003024715,Yes
Environment,SRR13727527_bin.192,98.9,4.129,0.631,153551,42,3126767,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__UBA4720,s__,No
Environment,CRR282911_bin.1,94.56,3.296,0.698,9990,433,3126878,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__SZUA-252,f__SZUA-252,g__SZUA-252,s__,No
Environment,SRR18577060_metabat2_bin.15,93.94,2.14,66.64,15788,277,3126932,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__,No
Animal,SRR15023577_bin.4,96.3,0.308,0.495,12791,369,3127735,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Aminobacteriaceae,g__JAFUXM01,s__,No
Animal,SRR29757225_bin.30,92.56,4.43,0.508,83312,321,3128092,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter intestinigallinarum,Yes
Environment,SRR23912754_bin.12,96.79,1.756,0.732,14025,332,3128107,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae,g__Ornithinibacter,s__,No
Clinical,SRR17827874.bin_4,99.42,0,42.4,234390,8,3129048,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus_B,s__Coprococcus_B comes,Yes
Animal,SRR29449905_bin.18,95.43,1.011,0.449,82353,397,3129589,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola sp002161765,Yes
Clinical,SRR1782784808.bin_5,100,0.11,48.3,72548,2,3129694,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Parasutterella,s__Parasutterella excrementihominis,Yes
Environment,SRR11674035_bin.53,95.45,0,0.651,220614,24,3130246,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__UBA1924,g__GCA-016699835,s__GCA-016699835 sp016699835,Yes
Clinical,SRR17827847.bin_26,98.28,0.21,42.9,40285,5,3130477,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_I,s__Eubacterium_I ramulus,Yes
Clinical,ERR3405652_bin.2,98.69,1.047,0.535,384607,22,3130862,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Schleiferilactobacillus,s__Schleiferilactobacillus harbinensis,Yes
Animal,SRR29757235_bin.22,93.74,1.517,0.424,98240,35,3130952,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Paraprevotella,s__Paraprevotella sp944320775,Yes
Clinical,SRR14355379_bin.45,96.43,0.464,0.512,24404,203,3131014,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp900768625,Yes
Animal,ERR2027898_bin.88,98.91,1.511,0.468,140136,35,3131189,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__Saccharofermentans sp017940895,Yes
Animal,SRR15023572_bin.20,99.39,0.996,0.438,55708,93,3131289,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,No
Animal,SRR29472726_bin.4,92.89,3.639,0.464,16508,87,3131644,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__,No
Environment,SRR25018314_bin.23,97.97,0.623,0.639,72795,68,3131702,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_B,g__,s__,No
Animal,ERR2027930_bin.7,90.81,1.635,0.515,51448,98,3133314,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Sodaliphilus,s__Sodaliphilus sp900318345,Yes
Clinical,SRR8692215_bin.31,98.94,0.632,0.394,141207,30,3133348,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fimimorpha,s__,No
Clinical,SRR17827841.bin_11,99.37,0,46.1,102386,2,3134045,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBSRR1782792302,s__,No
Environment,SRR18577028_metabat2_bin.93,91.1,1.77,52.55,10663,403,3134710,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__UKL13-2,g__UKL13-2,s__,No
Environment,ERR1725972_bin.22,90.08,3.153,0.694,20138,236,3135092,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Nanopelagicales,f__UBA10799,g__JACJWR01,s__,No
Clinical,SRR4305271_bin.2,99.06,0.699,0.374,31728,172,3135410,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Sedimentibacteraceae,g__Sedimentibacter,s__Sedimentibacter sp003457065,Yes
Clinical,SRR17048956_bin.15,92.95,1.363,0.578,33037,194,3135487,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp900555735,Yes
Environment,SRR8208348_bin.49,91.84,2.756,0.711,57133,113,3135580,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae,g__Lutibacillus,s__Lutibacillus vidarii,Yes
Clinical,SRR1782784825.bin_9,99.42,0,45.6,263990,5,3135749,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalicatena,s__Faecalicatena glycyrrhizinilyticum,Yes
Animal,SRR15023595_bin.13,97.46,0.7,0.489,87511,57,3136279,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900314985,Yes
Clinical,SRR1782784804.bin_7,95.97,0,44.4,34681,1,3136295,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotellamassilia,s__,No
Clinical,SRR12557722_bin.4,90.38,3.349,0.512,13686,319,3136973,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp934402315,Yes
Environment,SRR5002308_bin.22,93.04,0.796,63.28,9636,418,3137344,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,No
Environment,SRR16108672_bin.65,95.39,2.532,0.656,70864,66,3137561,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodospirillales_A,f__2-12-FULL-67-15,g__2-12-FULL-67-15,s__2-12-FULL-67-15 sp016872535,Yes
Clinical,SRR9865754_bin.5,94.56,4.026,0.341,14644,306,3137642,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Scybalomonas,s__Scybalomonas sp900544525,Yes
Animal,SRR15023580_bin.11,90.32,3.548,0.533,64159,86,3137771,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Sodaliphilus,s__Sodaliphilus sp900319525,Yes
Environment,SRR13727520_bin.9,97.34,4.293,0.632,87375,58,3138264,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Thiobacillaceae,g__Thiobacillus,s__,No
Environment,ERR1019366_bin.36,94.41,3.643,0.636,60243,114,3138408,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__FEN-1191,s__,No
Environment,SRR18577013_metabat2_bin.63,90.36,2.95,59.81,8688,447,3139063,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Rhodoferax,s__,No
Animal,SRR15023594_bin.17,90.13,1.666,0.494,29369,153,3139420,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,No
Environment,SRR11674018_bin.32,98.86,0,0.672,450204,19,3139800,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__UBA1924,g__JABWBB01,s__JABWBB01 sp013360675,Yes
Environment,SRR6144760_bin.1,92.53,4.908,0.639,8571,489,3140897,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Maricaulis,s__Maricaulis alexandrii,Yes
Environment,ERR1035437_bin.25,93.83,2.689,0.617,15166,299,3141642,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__Binatus,s__,No
Environment,SRR21778128_bin.32,100,0,0.5,137573,42,3142452,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylophilus,s__,No
Clinical,SRR13077684_bin.16,100,0.94,30.29,65936,73,3143161,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__Dorea_A longicatena,Yes
Animal,ERR2282092_bin.76,92.99,3.29,0.504,21772,235,3143834,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Bilifractor,s__Bilifractor sp900314295,Yes
Environment,SRR6144759_bin.37,97.85,1.293,0.567,72018,70,3143877,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,s__Halomonas aquamarina,Yes
Environment,SRR16108666_bin.65,92.58,4.612,0.618,57983,101,3144474,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocystis,s__Methylocystis sp016869595,Yes
Environment,SRR17658252_bin.3,90.5,4.079,0.66,9385,519,3144509,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__SG8-41,g__SG8-41,s__,No
Environment,SRR9924791_bin.33,96.9,0.858,0.619,59358,107,3145549,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tabrizicola_A,s__,No
Animal,SRR29536164_bin.8,96.18,2.109,0.472,10319,172,3146815,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Catenibacillus,s__Catenibacillus faecigallinarum,Yes
Animal,SRR20930591_bin.18,97.7,0.656,0.443,114908,66,3147510,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__VSOB01,s__VSOB01 sp910587635,Yes
Environment,SRR13727529_bin.30,96.7,2.747,0.694,24961,219,3147525,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__JACORV01,g__JACORV01,s__,No
Animal,SRR15023594_bin.19,92.25,2.358,0.503,82668,65,3147789,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Sodaliphilus,s__,No
Animal,SRR15023610_bin.19,99.19,1.075,0.434,226361,24,3149016,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__ML635J-15,g__Bact-19,s__Bact-19 sp902790405,Yes
Clinical,SRR14000818_bin.16,97.95,0,0.579,380319,15,3149278,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia muciniphila_B,Yes
Animal,ERR2027899_bin.12,96.26,0.545,0.556,34255,138,3150199,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-791,s__CAG-791 sp900315055,Yes
Clinical,SRR17827819.bin_30,96.77,0.81,50.3,29138,3,3150382,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__QALS01,s__,No
Animal,SRR29409648_bin.23,98.73,0.158,0.501,52392,181,3150403,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Caccovicinus,s__Caccovicinus merdipullorum,Yes
Animal,CRR657449_bin.50,95.32,1.152,0.424,68983,75,3150756,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__MD308,s__MD308 sp910584615,Yes
Environment,ERR1713349_bin.37,93.6,0.994,0.6,30885,160,3150909,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__,No
Environment,SRR8208349_bin.36,97.56,2.794,0.368,60329,174,3151104,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__UBA11063,g__Aquella,s__Aquella sp003963245,Yes
Environment,CRR283032_bin.18,93.16,1.727,0.713,119781,63,3151363,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola,s__,No
Environment,SRR21524774_bin.6,91.9,0.746,0.383,48663,102,3151814,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__NS11-12g,f__CAINMV01,g__CAINMV01,s__,No
Environment,SRR18577032_maxbin2_bin.45,92.37,3.33,57.65,12079,437,3153276,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudorhodobacter_B,s__,No
Environment,SRR23912738_bin.20,94.28,1.428,0.466,72973,88,3154709,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__SR-FBR-E99,s__,No
Environment,SRR25018268_bin.2,96.7,2.911,0.644,19645,292,3154872,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__SCMT01,s__,No
Environment,SRR21778125_bin.3,97.43,1.424,0.693,12552,349,3155668,d__Bacteria,p__Actinomycetota,c__UBA4738,o__UBA4738,f__HRBIN12,g__,s__,No
Environment,SRR16108669_bin.14,97.72,0.568,0.712,51911,122,3155806,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__VGXO01,s__VGXO01 sp016873275,Yes
Environment,SRR18577057_vamb_bins_S1C22,97.59,0.69,66.21,84649,45,3156094,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__,No
Environment,ERR6430848_bin.2,90.6,2.879,0.391,7121,573,3156195,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__UBA6429,f__UBA6429,g__SZUA-37,s__,No
Animal,SRR15023604_bin.14,100,0,0.444,116361,50,3156462,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__,No
Environment,SRR8404393_bin.36,94.54,3.501,0.651,87102,76,3156522,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Alteriqipengyuania,s__Alteriqipengyuania bathyomarina,Yes
Animal,SRR15023591_bin.16,100,0.949,0.525,55349,177,3156891,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__UBA9786,s__UBA9786 sp902785705,Yes
Clinical,SRR12557728_bin.33,93.51,1.424,0.447,12799,360,3157399,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UMGS363,s__UMGS363 sp900541495,Yes
Animal,SRR29429271_bin.18,94.93,0,0.484,93941,864,3157473,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UMGS1370,s__UMGS1370 sp904395885,Yes
Environment,SRR18577036_vamb_S1C20355,94.88,0.78,66.81,118908,34,3158898,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,No
Environment,SRR18577024_metabat2_bin.40,90.98,2.12,42.55,51231,109,3159332,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,No
Clinical,SRR18191139_bin.46,92.62,0.186,0.4,94983,58,3159937,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola sp900066445,Yes
Clinical,SRR13077864_bin.8,98.05,0.62,65.51,1231905,5,3159975,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella tanakaei,Yes
Clinical,SRR178278213.bin_19,97.09,0.67,56.8,52462,4,3160128,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-110,s__CAG-110 sp000435995,Yes
Environment,SRR13727538_bin.10,95.81,0.778,0.493,61287,133,3160377,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__Nitrotoga,s__Nitrotoga sp003402375,Yes
Clinical,SRR17827923.bin_12,96.77,0,47,235702,7,3160626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__QALS01,s__,No
Clinical,SRR17827846.bin_46,93.49,1.34,46,71403,14,3161374,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__,No
Environment,SRR13727521_bin.17,97.42,0.266,0.307,40268,143,3161561,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Lutibacter,s__,No
Animal,SRR29757226_bin.9,96.23,1.008,0.592,37803,286,3162377,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__Egerieenecus,s__Egerieenecus sp944364075,Yes
Clinical,SRR17827812.bin_20,95.97,0,49.8,185805,3,3163555,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__QALS01,s__QALS01 sp003150575,Yes
Clinical,SRR178278481.bin_16,99.37,0.32,44.7,266698,5,3166162,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A massiliensis,Yes
Environment,SRR21524766_bin.10,98.82,1.861,0.651,58091,91,3166258,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_B,g__Ramlibacter,s__,No
Clinical,ERR4283240_bin.4,97.8,0.844,0.46,106638,65,3166790,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900313215,Yes
Animal,SRR29429271_bin.17,98.83,1.292,0.472,114732,68,3166811,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__,No
Animal,SRR15023574_bin.64,98.12,0,0.461,82942,62,3167202,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides pyogenes,Yes
Clinical,SRR13077751_bin.9,97.43,2.44,53.78,119617,48,3167283,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Eggerthella,s__Eggerthella lenta,Yes
Clinical,SRR1782784824.bin_17,97.61,0,48.9,30219,5,3167999,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella lascolaii,Yes
Environment,SRR13727519_bin.28,99.32,0.675,0.46,161517,39,3168245,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__JAJFMA01,g__,s__,No
Environment,SRR18577056_metabat2_bin.4,98.84,1.08,71.13,33474,195,3168251,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__SCTD01,g__SCTD01,s__,No
Animal,SRR15023594_bin.7,100,0.864,0.417,208560,31,3168737,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__,No
Clinical,SRR14017567_bin.11,97.98,0.692,0.535,292083,14,3168889,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_E,s__Clostridium_E sporosphaeroides,Yes
Environment,SRR18577056_vamb_bins_S1C2264,95.73,0,71.13,51308,84,3169258,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__SIRW01,g__,s__,No
Animal,SRR14202238_bin.40,97.95,0.68,0.604,84759,56,3169515,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger variabilis_C,Yes
Environment,SRR23912738_bin.2,95.95,2.843,0.622,29351,177,3169592,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Azonexus,s__,No
Animal,SRR15023595_bin.7,90.64,0.144,0.489,78931,59,3169683,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA4372,s__UBA4372 sp902801325,Yes
Animal,ERR2027921_bin.10,94.28,3.611,0.507,53530,109,3169990,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900318795,Yes
Clinical,SRR17827868.bin_36,94.44,1.15,54.4,16535,17,3170593,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,No
Animal,SRR29757238_bin.54,99.36,0.534,0.359,87909,122,3170829,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fimimorpha,s__Fimimorpha faecalis,Yes
